Pos	Neg	ID	Text
1	3	432765859962970113
1	1	364804928964800512
1	1	417142922203525120
1	1	421189459703394304
1	2	421906328882118656
2	2	422852293193502720
1	1	417150706924421120
2	2	416811590218829824
1	2	437840809652523008
2	1	433839277814726656
1	1	275705313905229824
1	5	430504459550982145
1	3	431274640942440448
2	1	347040145515626497
3	1	429077662280085504
2	1	432182786296782850
3	2	435892402234982400
1	2	431293530980753409
2	1	437291305987633152
2	3	425124356860026880
2	3	429102189416427520
3	1	424420573498724352
2	2	429122078248169472
2	1	438938146898579457
1	1	421922642799497216
1	2	418874995029192704
2	1	425757808416419840
1	1	438155080521359362
2	2	422851892377440256
1	1	432767022242340864
3	1	432746334588661760
2	1	308742800298610688
2	4	294194843540922368
3	1	438125036348522496
2	3	428404004410761216
1	1	434189307931148288
2	1	431126770733948928
1	1	432763905455042560
2	1	436346989241176065
2	1	435448005005565952
2	1	417480532016918528
3	1	435313585149857793
2	2	432700580369145857
2	1	422140196428054529
1	1	415955172234240000
2	2	422899896082243584
1	3	414929917189451776
1	2	420946220635283458
2	1	418998894735798272
3	1	422636132602372096
1	1	431221030221144064
1	1	432939692367937536
2	2	427696849252663296
1	1	435910665744551936
1	1	436058713120444416
1	3	292058403587620865
1	1	293411367585710080
3	2	433095502918197248
3	1	430121200702865408
2	3	433223935195234304
1	1	418333566917816320
2	1	436766182406758400
2	1	420102315933057024
1	1	430767736445104128
2	1	416488785753300992
2	3	431274289523068929
5	1	422609023997722625
2	1	435856775489671168
1	4	433783939082096640
3	1	429456868553945088
3	1	435568143419711489
1	1	425462772239847425
1	2	293522382541447168
1	1	424362513107406848
1	2	422743172087681025
3	1	411210103074078720
1	1	432213759348580352
3	1	302124234115796992
1	2	421412338982322176
1	1	276420274260422656
3	1	314418731033956354
1	3	425126910071672833
1	1	423221190057263104
3	1	420082603027218433
3	1	426869110786367488
1	1	365550056629207040
1	2	417692091360481280
3	1	433410899861192704
3	1	413016945470881792
1	4	301014746247880704
1	2	365517170140127233
2	2	439182342007955456
3	1	428694741564157952
4	1	435325228189622275
1	4	418055606717538304
2	3	420102609739866112
2	2	427913185836818432
3	1	426794025249538048
2	1	418352703484358656
2	1	431631637961404416
2	2	421906770928205824
3	1	425134729344462848
1	3	437974457521426432
1	2	423105141416271873
3	1	425846003942428672
1	3	432785265673793536
2	1	430939788485484544
1	1	424719560009199616
1	3	307506984993820672
1	4	437310957539184640
1	2	426722137362014208
1	2	354350471760199681
1	1	439974949441110016
3	2	427142311206604800
2	1	297035180026236928
1	1	437612621793988609
1	1	304266998068699137
2	1	423103681362284544
2	1	350300428291932160
1	2	422877677574311936
3	1	430495018982195200
2	1	434372116205416448
4	1	423528038635016193
3	1	293406301902479360
1	1	380339954997403648
2	1	299240456116637696
4	1	345269523202596866
1	3	432552850451726337
2	2	423536282619240448
2	1	438904171962445824
1	1	435323252097835008
1	3	436707612478824449
1	2	288333843612704768
3	1	429462609151012865
2	2	438076092813832192
3	1	420081806839255040
1	5	434440152253886465
1	3	287242506578579457
4	1	416044943732256768
1	2	436414560182865920
3	1	424976937933479936
4	1	284010217103052800
2	1	293171443863281665
1	1	309384309209440256
4	1	429878495531905024
3	1	417823642634833920
1	2	435317487022780416
1	1	428027718056177664
4	1	301726041003683840
